,Number_of_Children,Number_of_Children_Spouse,Sex,Age,Age_at_Marriage,Age_of_Spouse,Age_at_Marriage_Spouse,Age_Difference,Number_of_Roles,Spouse_is_Celebrity,Distance,Divorced
146,2.0,,0,40.0,29.0,,,,1,0,,1
147,1.0,,0,44.0,28.0,,,,2,0,,1
148,1.0,,0,44.0,28.0,,,,2,0,,1
149,1.0,2.0,0,58.0,16.0,87.0,28.0,12.0,2,0,773.3844254168638,1
150,3.0,,0,90.0,22.0,,,,2,0,,1
151,1.0,,0,69.0,34.0,,,,3,0,,0
152,1.0,1.0,0,69.0,38.0,64.0,33.0,5.0,2,0,24.567229157323297,0
153,3.0,3.0,0,33.0,25.0,40.0,32.0,7.0,1,1,3043.4209450673457,0
154,2.0,,0,57.0,37.0,,,,3,0,,0
155,3.0,,0,34.0,16.0,,,,2,0,,1
156,2.0,3.0,0,49.0,33.0,56.0,40.0,7.0,2,0,2934.754945317958,0
157,2.0,,0,35.0,32.0,,,,2,0,,0
158,2.0,,0,53.0,26.0,,,,2,0,,1
159,2.0,,0,46.0,27.0,,,,2,0,,1
160,,,0,50.0,26.0,,,,1,0,,1
161,2.0,1.0,0,68.0,24.0,80.0,36.0,12.0,2,0,1735.1534485338143,1
162,,,0,65.0,19.0,,,,2,0,,1
163,1.0,,0,49.0,46.0,,,,2,0,,0
164,,,0,54.0,41.0,74.0,61.0,20.0,1,0,353.98757047017284,0
165,4.0,,0,55.0,21.0,,,,2,0,,1
166,3.0,3.0,0,43.0,29.0,46.0,32.0,3.0,2,1,402.4914933589101,1
167,2.0,,0,89.0,23.0,,,,2,0,,1
168,1.0,,0,38.0,29.0,,,,1,0,,1
169,2.0,4.0,0,81.0,25.0,37.0,28.0,3.0,2,0,537.2419009263203,0
170,3.0,,0,73.0,28.0,,,,2,0,,1
171,1.0,,0,71.0,24.0,,,,2,0,,1
172,2.0,,0,58.0,32.0,,,,4,0,,1
173,,,0,56.0,47.0,,,,1,0,,0
174,1.0,,0,94.0,31.0,,,,1,0,,0
175,1.0,,0,47.0,29.0,,,,4,0,,1
176,5.0,2.0,0,48.0,23.0,66.0,41.0,18.0,2,0,1421.0534346006502,1
177,1.0,1.0,0,47.0,35.0,47.0,35.0,0.0,2,0,3019.343709931881,0
178,,,0,40.0,18.0,,,,2,0,,1
179,2.0,1.0,0,78.0,23.0,84.0,29.0,6.0,2,0,1293.2980376820146,1
180,2.0,2.0,0,41.0,30.0,41.0,30.0,0.0,2,1,1740.9179130733082,0
181,2.0,,0,56.0,30.0,58.0,32.0,2.0,2,1,16672.228301437746,1
182,,,0,92.0,24.0,48.0,37.0,13.0,2,1,3796.206270262128,1
183,,,0,,,,,,2,0,,0
184,1.0,,0,100.0,19.0,,,,3,0,,1
185,3.0,,0,,,,,,2,0,,0
186,,,0,78.0,28.0,65.0,52.0,24.0,1,0,2354.962888293129,1
187,1.0,1.0,0,83.0,21.0,70.0,37.0,16.0,2,0,4134.972639976981,1
188,1.0,,0,67.0,28.0,,,,3,0,,1
189,1.0,,0,32.0,19.0,,,,3,0,,1
190,,3.0,0,51.0,36.0,69.0,54.0,18.0,2,1,506.69279547740985,0
191,2.0,,0,42.0,33.0,,,,1,0,,0
192,1.0,,0,82.0,20.0,,,,3,0,,1
193,3.0,,0,65.0,26.0,,,,2,0,,1
194,3.0,,0,41.0,27.0,,,,2,0,,0
195,5.0,,0,35.0,25.0,,,,1,0,,0
196,1.0,2.0,0,93.0,24.0,91.0,28.0,4.0,2,0,3935.536977390735,1
