,Number_of_Children,Number_of_Children_Spouse,Sex,Age,Age_at_Marriage,Age_of_Spouse,Age_at_Marriage_Spouse,Age_Difference,Number_of_Roles,Spouse_is_Celebrity,Distance,Divorced
8125,2.0,,0,58.0,37.0,,,,1,0,,0
8126,1.0,2.0,0,48.0,28.0,51.0,31.0,3.0,1,0,307.59861973045554,0
8127,,,0,87.0,20.0,,,,1,0,,1
8128,,,0,36.0,35.0,,,,1,0,,0
8129,1.0,1.0,0,57.0,34.0,50.0,27.0,7.0,1,0,560.989928130081,0
8130,2.0,2.0,0,63.0,45.0,68.0,50.0,5.0,1,0,585.9913659419724,0
8131,1.0,2.0,0,82.0,29.0,74.0,50.0,21.0,1,0,533.6706952653618,0
8132,2.0,4.0,0,58.0,37.0,47.0,34.0,3.0,1,0,545.8956253284675,0
8133,4.0,,0,84.0,20.0,,,,1,0,,0
8134,2.0,2.0,0,75.0,32.0,54.0,34.0,2.0,1,0,562.627490846365,0
8135,,,0,79.0,64.0,72.0,69.0,5.0,1,0,555.1442165557171,0
8136,,,0,75.0,25.0,,,,1,0,,0
8137,1.0,1.0,0,54.0,38.0,60.0,50.0,12.0,1,0,439.6961204737808,0
8138,2.0,,0,86.0,24.0,,,,1,0,,1
8139,1.0,,0,58.0,38.0,,,,1,0,,0
8140,,2.0,0,91.0,25.0,53.0,28.0,3.0,1,0,403.851027136568,0
8141,2.0,2.0,0,36.0,31.0,37.0,32.0,1.0,1,0,640.1869855169465,0
8142,1.0,3.0,0,67.0,55.0,,,,1,0,503.4252716314215,0
8143,2.0,,0,,,,,,1,0,,1
8144,,,0,35.0,24.0,86.0,30.0,6.0,1,0,8244.695178841896,1
8145,3.0,,0,79.0,24.0,,,,1,0,,0
8146,,,0,51.0,27.0,,,,1,0,,1
8147,,4.0,0,93.0,61.0,79.0,66.0,5.0,1,0,23.98391223804383,0
8148,2.0,,0,58.0,26.0,,,,1,0,,0
8149,,,0,86.0,30.0,83.0,30.0,0.0,1,0,574.252126390421,1
8150,,,0,98.0,39.0,,,,1,0,,0
8151,4.0,4.0,0,80.0,24.0,90.0,31.0,7.0,1,1,21.039078848408785,0
8152,1.0,,0,65.0,30.0,,,,1,0,,0
8153,4.0,,0,42.0,24.0,,,,1,0,,1
8154,2.0,,0,38.0,32.0,,,,1,0,,0
8155,2.0,,0,87.0,27.0,,,,1,0,,0
8156,,,0,94.0,29.0,,,,1,0,,0
8157,,,0,67.0,30.0,,,,1,0,,0
8158,,,0,76.0,38.0,,,,1,0,,1
8159,,,0,78.0,20.0,,,,1,0,,1
8160,2.0,,0,68.0,36.0,,,,1,0,,0
8161,2.0,,0,86.0,20.0,,,,1,0,,1
8162,,,0,42.0,27.0,,,,1,0,,0
8163,2.0,,0,35.0,29.0,,,,1,0,,0
8164,,,0,65.0,32.0,,,,1,0,,1
8165,2.0,,0,86.0,,74.0,,1.0,1,0,320.2890754248129,0
8166,1.0,,0,88.0,25.0,,,,1,0,,0
8167,1.0,,0,93.0,20.0,,,,3,0,,1
8168,1.0,,0,58.0,36.0,,,,1,0,,0
8169,,,0,105.0,30.0,,,,1,0,,0
8170,,,0,33.0,27.0,,,,1,0,,0
8171,2.0,,0,75.0,26.0,,,,1,0,,1
8172,6.0,,0,68.0,17.0,,,,2,0,,1
8173,2.0,,0,50.0,32.0,,,,1,0,,0
8174,,,0,51.0,40.0,,,,2,0,,1
8175,,,0,45.0,29.0,47.0,31.0,2.0,1,0,0.0,0
8176,1.0,,0,57.0,38.0,,,,1,0,,0
8177,1.0,1.0,0,58.0,33.0,58.0,33.0,0.0,1,0,0.0,0
8178,3.0,,0,58.0,32.0,,,,1,0,,0
8179,2.0,,0,53.0,35.0,,,,1,0,,0
8180,,,0,39.0,38.0,35.0,34.0,4.0,1,0,3805.7416965421194,0
8181,,,0,50.0,39.0,,,,2,0,,1
8182,,,0,45.0,31.0,,,,2,0,,0
8183,1.0,1.0,0,62.0,32.0,59.0,29.0,3.0,1,1,0.0,0
8184,2.0,,0,47.0,25.0,,,,1,0,,0
8185,1.0,,0,50.0,26.0,,,,1,0,,1
8186,1.0,,0,60.0,33.0,,,,2,0,,0
8187,,,0,50.0,25.0,,,,1,0,,1
8188,,,0,61.0,30.0,63.0,32.0,2.0,1,0,0.0,0
8189,,,0,56.0,42.0,,,,2,0,,0
8190,3.0,,0,49.0,30.0,,,,1,0,,0
8191,2.0,2.0,0,53.0,26.0,62.0,35.0,9.0,1,1,0.0,0
8192,2.0,2.0,0,40.0,30.0,38.0,28.0,2.0,1,1,3095.7758156751606,0
8193,2.0,2.0,0,40.0,31.0,47.0,38.0,7.0,1,0,2627.221270231618,0
8194,2.0,,0,48.0,29.0,,,,1,0,,0
8195,,,0,40.0,37.0,,,,2,0,,0
8196,1.0,,0,43.0,31.0,,,,2,0,,1
8197,,,0,57.0,36.0,,,,1,0,,0
8198,1.0,,0,60.0,29.0,,,,1,0,,1
8199,1.0,,0,52.0,34.0,,,,1,0,,0
8200,1.0,,0,48.0,35.0,,,,1,0,,1
8201,2.0,2.0,0,51.0,31.0,51.0,31.0,0.0,1,0,14120.89231865885,1
8202,1.0,,0,32.0,31.0,,,,1,0,,0
8203,1.0,1.0,0,62.0,28.0,62.0,28.0,0.0,1,0,0.0,0
8204,2.0,,0,47.0,27.0,,,,1,0,,0
8205,2.0,,0,61.0,29.0,,,,1,0,,0
8206,2.0,,0,,,,,,1,0,,1
8207,1.0,,0,46.0,28.0,,,,1,0,,1
8208,,,0,42.0,30.0,,,,1,0,,1
8209,2.0,,0,81.0,26.0,,,,1,0,,1
8210,,,0,75.0,32.0,81.0,40.0,8.0,1,0,21.938537671090614,0
8211,,,0,32.0,,,,,1,0,,1
8212,1.0,1.0,0,42.0,34.0,51.0,43.0,9.0,1,0,,0
8213,2.0,,0,41.0,37.0,,,,1,0,,0
8214,2.0,,0,44.0,25.0,,,,1,0,,0
8215,,,0,35.0,32.0,,,,1,0,,1
8216,2.0,,0,53.0,30.0,,,,1,0,,1
8217,5.0,,0,46.0,25.0,,,,1,0,,1
8218,,,0,69.0,34.0,,,,1,0,,0
8219,,,0,91.0,28.0,,,,1,0,,0
8220,,,0,38.0,21.0,,,,1,0,,1
8221,,,0,45.0,37.0,,,,1,0,,0
8222,1.0,,0,33.0,29.0,,,,1,0,,0
8223,,,0,39.0,33.0,,,,1,0,,0
8224,,,0,42.0,38.0,,,,1,0,,0
8225,2.0,,0,50.0,18.0,,,,1,0,,1
8226,2.0,,0,53.0,28.0,,,,1,0,,1
8227,,,0,37.0,34.0,,,,2,0,,0
8228,,,0,56.0,33.0,,,,1,0,,1
8229,3.0,,0,63.0,28.0,,,,1,0,,1
8230,1.0,1.0,0,38.0,32.0,45.0,39.0,7.0,1,0,0.0,0
8231,,,0,46.0,34.0,,,,1,0,,1
8232,,,0,63.0,24.0,,,,1,0,,0
8233,1.0,1.0,0,44.0,38.0,42.0,36.0,2.0,1,1,592.6313596350037,0
8234,3.0,,0,62.0,28.0,,,,1,0,,1
8235,2.0,,0,72.0,25.0,,,,1,0,,1
8236,2.0,4.0,0,52.0,24.0,55.0,27.0,3.0,1,0,282.8724141788825,1
8237,,,0,29.0,28.0,,,,1,0,,0
8238,2.0,,0,39.0,35.0,,,,1,0,,0
8239,2.0,2.0,0,54.0,24.0,61.0,31.0,7.0,1,0,0.0,0
8240,,,0,36.0,34.0,,,,1,0,,0
8241,1.0,,0,41.0,36.0,,,,1,0,,0
8242,1.0,,0,43.0,27.0,,,,1,0,,0
8243,2.0,2.0,0,41.0,23.0,45.0,27.0,4.0,1,0,319.9561001758676,0
8244,1.0,,0,42.0,32.0,,,,2,0,,0
8245,,,0,39.0,38.0,,,,1,0,,0
8246,,,0,40.0,39.0,,,,1,0,,0
8247,2.0,,0,38.0,31.0,,,,2,0,,0
8248,,,0,60.0,35.0,,,,1,0,,1
8249,1.0,,0,38.0,27.0,,,,1,0,,0
8250,,,0,50.0,41.0,,,,1,0,,0
8251,1.0,,0,63.0,29.0,,,,1,0,,0
8252,,,0,42.0,41.0,,,,2,0,,0
8253,2.0,,0,39.0,22.0,,,,1,0,,1
8254,1.0,,0,50.0,38.0,,,,1,0,,0
8255,1.0,,0,50.0,34.0,,,,1,0,,0
8256,1.0,,0,40.0,36.0,,,,2,0,,0
8257,2.0,2.0,0,47.0,33.0,48.0,34.0,1.0,1,0,195.43249350555973,0
8258,1.0,1.0,0,35.0,23.0,44.0,32.0,9.0,1,0,195.43249350555973,0
8259,,,0,41.0,31.0,,,,1,0,,0
8260,2.0,,0,57.0,27.0,,,,1,0,,1
8261,,,0,42.0,33.0,,,,1,0,,0
8262,,,0,46.0,41.0,,,,1,0,,0
8263,1.0,,0,63.0,25.0,,,,1,0,,1
8264,4.0,,0,50.0,31.0,,,,1,0,,0
8265,1.0,,0,41.0,27.0,,,,1,0,,0
8266,1.0,,0,33.0,30.0,,,,1,0,,0
8267,1.0,,0,36.0,33.0,,,,1,0,,0
8268,2.0,,0,66.0,31.0,,,,1,0,,1
8269,2.0,,0,51.0,23.0,,,,1,0,,1
8270,1.0,,0,45.0,38.0,,,,1,0,,0
8271,2.0,,0,56.0,29.0,,,,1,0,,0
8272,1.0,,0,46.0,30.0,,,,1,0,,0
8273,2.0,,0,82.0,20.0,,,,1,0,,0
8274,,,0,54.0,39.0,,,,1,0,,1
8275,1.0,,0,49.0,27.0,,,,1,0,,0
8276,,,0,49.0,30.0,,,,1,0,,0
8277,,,0,43.0,37.0,43.0,37.0,0.0,1,0,0.0,0
8278,3.0,,0,40.0,26.0,,,,1,0,,0
8279,2.0,,0,56.0,29.0,,,,1,0,,0
8280,,,0,51.0,32.0,51.0,32.0,0.0,1,0,,0
8281,,,0,44.0,37.0,42.0,35.0,2.0,1,1,313.59806161036767,0
8282,2.0,,0,86.0,23.0,,,,1,0,,0
8283,,,0,50.0,37.0,,,,1,0,,0
8284,,,0,33.0,32.0,,,,1,0,,0
8285,,,0,39.0,32.0,36.0,29.0,3.0,2,0,27.42602700864135,1
8286,,,0,58.0,33.0,,,,1,0,,0
8287,2.0,2.0,0,44.0,34.0,46.0,36.0,2.0,1,1,0.0,0
8288,,,0,42.0,38.0,,,,1,0,,0
8289,1.0,1.0,0,35.0,25.0,51.0,41.0,16.0,1,1,195.43249350555973,0
8290,,,0,57.0,21.0,,,,1,0,,1
8291,1.0,,0,63.0,22.0,,,,1,0,,0
8292,,,0,52.0,33.0,50.0,31.0,2.0,1,0,19.51907784338375,1
8293,,,0,52.0,25.0,,,,1,0,,1
8294,,1.0,0,45.0,19.0,51.0,25.0,6.0,1,1,195.43249350555973,1
8295,,,0,52.0,29.0,,,,1,0,,1
8296,1.0,,0,43.0,39.0,,,,2,0,,0
8297,1.0,,0,41.0,34.0,,,,1,0,,0
8298,2.0,,0,63.0,27.0,,,,1,0,,1
8299,,2.0,0,52.0,24.0,54.0,26.0,2.0,1,0,0.0,1
8300,1.0,1.0,0,41.0,31.0,53.0,43.0,12.0,2,0,5.880375323830868,0
8301,1.0,1.0,0,44.0,36.0,46.0,38.0,2.0,1,1,162.42445120410432,0
8302,,,0,36.0,34.0,,,,1,0,,0
8303,1.0,,0,41.0,35.0,,,,1,0,,0
8304,,,0,41.0,33.0,,,,1,0,,1
8305,,,0,35.0,32.0,,,,1,0,,0
8306,2.0,,0,39.0,30.0,,,,1,0,,0
8307,,,0,42.0,29.0,,,,1,0,,0
8308,1.0,,0,37.0,32.0,,,,2,0,,0
8309,1.0,1.0,0,49.0,32.0,53.0,36.0,4.0,2,0,189.6270295246524,0
8310,2.0,1.0,0,69.0,20.0,44.0,43.0,23.0,1,0,28.563607122158764,1
8311,1.0,1.0,0,32.0,26.0,44.0,38.0,12.0,1,1,57.58390579334685,0
8312,3.0,,0,82.0,24.0,,,,1,0,,0
8313,,,0,39.0,31.0,,,,1,0,,0
8314,,,0,42.0,35.0,,,,1,0,,0
8315,1.0,,0,53.0,32.0,,,,1,0,,1
8316,2.0,2.0,0,52.0,27.0,53.0,28.0,1.0,1,0,0.0,0
8317,2.0,,0,42.0,30.0,46.0,34.0,4.0,1,0,311.4047760795369,0
8318,2.0,,0,46.0,31.0,,,,1,0,,1
8319,2.0,,0,51.0,29.0,,,,1,0,,0
8320,1.0,,0,42.0,35.0,,,,1,0,,0
8321,2.0,,0,56.0,26.0,,,,2,0,,0
8322,,,0,41.0,25.0,42.0,26.0,1.0,1,1,175.03641056549705,0
8323,,,0,35.0,34.0,33.0,32.0,2.0,1,0,195.43249350555973,0
8324,2.0,2.0,0,45.0,35.0,50.0,40.0,5.0,1,1,71.13197422852052,0
8325,2.0,2.0,0,38.0,30.0,51.0,43.0,13.0,1,0,24.943020597490445,0
8326,,,0,47.0,34.0,,,,1,0,,0
8327,1.0,,0,74.0,21.0,,,,1,0,,1
8328,,,0,42.0,34.0,53.0,45.0,11.0,1,0,195.43249350555973,0
8329,,,0,40.0,27.0,,,,1,0,,0
8330,1.0,,0,45.0,39.0,,,,1,0,,1
8331,,,0,44.0,32.0,,,,1,0,,0
8332,2.0,,0,51.0,33.0,,,,1,0,,0
8333,,,0,42.0,40.0,,,,2,0,,0
8334,2.0,2.0,0,43.0,34.0,47.0,38.0,4.0,1,1,198.94566725908663,0
8335,3.0,3.0,0,54.0,26.0,56.0,28.0,2.0,1,0,195.43249350555973,0
8336,1.0,,0,38.0,31.0,,,,1,0,,0
8337,,,0,46.0,37.0,,,,1,0,,0
8338,1.0,1.0,0,49.0,34.0,50.0,35.0,1.0,1,0,226.70104910921592,0
8339,2.0,2.0,0,39.0,30.0,43.0,34.0,4.0,1,0,88.05761439726342,0
8340,,,0,40.0,39.0,,,,2,0,,0
8341,,,0,40.0,30.0,,,,1,0,,0
8342,2.0,2.0,0,43.0,28.0,47.0,32.0,4.0,1,0,119.59179345586696,0
8343,1.0,1.0,0,41.0,40.0,41.0,40.0,0.0,1,1,231.4211608528421,0
8344,1.0,,0,49.0,32.0,,,,1,0,,0
8345,2.0,,0,42.0,36.0,,,,2,0,,0
8346,2.0,2.0,0,64.0,22.0,73.0,31.0,9.0,1,0,,1
8347,,,0,46.0,37.0,,,,1,0,,1
8348,,,0,35.0,34.0,,,,1,0,,0
8349,,,0,49.0,32.0,,,,1,0,,0
8350,,,0,68.0,25.0,,,,1,0,,0
8351,1.0,,0,47.0,29.0,,,,1,0,,0
8352,1.0,,0,39.0,37.0,,,,1,0,,0
8353,1.0,,0,47.0,35.0,,,,1,0,,0
8354,,,0,40.0,34.0,,,,2,0,,0
8355,1.0,,0,33.0,32.0,,,,1,0,,0
8356,1.0,1.0,0,40.0,32.0,41.0,33.0,1.0,1,0,122.36844883684516,0
8357,1.0,,0,38.0,32.0,,,,1,0,,0
8358,2.0,,0,54.0,32.0,,,,1,0,,0
8359,2.0,,0,76.0,27.0,,,,1,0,,1
8360,2.0,,0,51.0,34.0,,,,1,0,,0
8361,2.0,,0,81.0,29.0,,,,1,0,,1
8362,3.0,,0,85.0,21.0,82.0,25.0,4.0,1,1,1129.8006603431224,1
8363,1.0,,0,59.0,56.0,,,,1,0,,0
8364,,,0,94.0,25.0,75.0,24.0,1.0,1,1,560.6711825146974,0
8365,,,0,42.0,29.0,,,,1,0,,1
8366,,,0,62.0,21.0,73.0,32.0,11.0,1,0,8645.461957434245,1
8367,1.0,,0,55.0,35.0,,,,1,0,,0
8368,,,0,78.0,24.0,,,,1,0,,0
8369,,,0,90.0,56.0,70.0,59.0,3.0,1,1,359.5122879238597,0
8370,1.0,,0,44.0,33.0,,,,2,0,,1
8371,3.0,,0,62.0,26.0,,,,1,0,,0
8372,2.0,1.0,0,46.0,29.0,41.0,24.0,5.0,1,1,112.96788311982516,1
8373,1.0,,0,66.0,26.0,,,,1,0,,1
8374,1.0,,0,42.0,35.0,,,,1,0,,0
8375,2.0,,0,35.0,33.0,,,,1,0,,0
8376,2.0,,0,54.0,24.0,54.0,24.0,0.0,1,1,505.0928552950403,1
8377,,,0,45.0,35.0,,,,1,0,,0
8378,1.0,,0,54.0,36.0,,,,1,0,,0
8379,3.0,,0,54.0,35.0,49.0,30.0,5.0,1,0,35.11883410925581,1
8380,,,0,62.0,32.0,,,,1,0,,1
8381,,,0,93.0,31.0,,,,1,0,,1
8382,,,0,82.0,20.0,,,,1,0,,1
8383,1.0,,0,27.0,23.0,,,,1,0,,0
8384,2.0,3.0,0,85.0,29.0,61.0,51.0,22.0,1,1,9508.503054860552,1
8385,,,0,69.0,18.0,83.0,29.0,11.0,1,1,505.0928552950403,0
8386,,,0,51.0,23.0,55.0,27.0,4.0,2,1,352.296621052065,1
8387,1.0,,0,54.0,29.0,,,,2,0,,1
8388,3.0,3.0,0,47.0,34.0,40.0,27.0,7.0,1,1,17310.650184197388,0
8389,,,0,76.0,36.0,60.0,36.0,0.0,1,0,0.0,0
8390,,,0,53.0,45.0,,,,1,0,,0
8391,,,0,88.0,31.0,,,,1,0,,0
8392,,,0,58.0,18.0,,,,1,0,,1
8393,3.0,,0,58.0,38.0,,,,1,0,,1
8394,,1.0,0,36.0,30.0,42.0,36.0,6.0,1,0,7228.550631543873,0
8395,2.0,,0,63.0,24.0,67.0,28.0,4.0,1,1,304.68598408336453,1
8396,3.0,,0,47.0,26.0,,,,1,0,,0
8397,,,0,84.0,38.0,,,,1,0,,1
8398,,,0,53.0,29.0,,,,1,0,,0
8399,,,0,48.0,39.0,,,,1,0,,0
8400,,,0,55.0,44.0,,,,1,0,,0
8401,1.0,,0,27.0,22.0,,,,1,0,,0
8402,,,0,44.0,28.0,46.0,30.0,2.0,1,1,,0
8403,,2.0,0,62.0,25.0,66.0,29.0,4.0,1,1,145.4149309075741,0
8404,,,0,31.0,28.0,,,,1,0,,0
8405,1.0,1.0,0,58.0,31.0,50.0,23.0,8.0,1,1,99.17248539948424,0
8406,1.0,,0,84.0,25.0,81.0,24.0,1.0,1,1,0.0,1
8407,1.0,,0,91.0,27.0,,,,1,0,,1
8408,3.0,,0,65.0,24.0,,,,2,0,,1
8409,2.0,2.0,0,39.0,29.0,39.0,29.0,0.0,1,0,8818.136009416176,0
8410,4.0,,0,67.0,22.0,,,,1,0,,1
8411,1.0,,0,89.0,22.0,,,,1,0,,1
8412,2.0,2.0,0,57.0,31.0,63.0,37.0,6.0,1,0,0.0,1
8413,,,0,72.0,23.0,65.0,31.0,8.0,1,0,88.21020240127743,1
8414,3.0,,0,89.0,24.0,,,,1,0,,1
8415,,,0,73.0,28.0,53.0,25.0,3.0,2,1,0.0,1
8416,1.0,,0,96.0,24.0,,,,1,0,,1
8417,2.0,,0,88.0,24.0,,,,1,0,,0
8418,3.0,3.0,0,81.0,22.0,55.0,39.0,17.0,1,0,1536.9277015771809,1
8419,,,0,79.0,47.0,,,,1,0,,1
8420,2.0,,0,68.0,24.0,,,,1,0,,1
8421,,,0,86.0,22.0,,,,1,0,,1
8422,,,0,97.0,34.0,,,,1,0,,1
8423,2.0,,0,45.0,41.0,,,,1,0,,0
8424,2.0,7.0,0,68.0,25.0,68.0,36.0,11.0,1,1,94.98915014377783,1
8425,3.0,,0,,,,,,1,0,,1
8426,,,0,96.0,23.0,,,,1,0,,1
8427,,,0,71.0,32.0,,,,1,0,,1
8428,3.0,1.0,0,83.0,23.0,88.0,24.0,1.0,1,0,81.89633426047374,1
8429,,5.0,0,79.0,17.0,73.0,22.0,5.0,1,1,81.89633426047374,1
8430,,,0,76.0,31.0,,,,1,0,,1
8431,,,0,90.0,29.0,,,,2,0,,1
8432,2.0,,0,85.0,22.0,,,,1,0,,1
8433,,,0,42.0,32.0,42.0,32.0,0.0,2,0,0.0,0
8434,2.0,,0,86.0,19.0,,,,1,0,,0
8435,,,0,89.0,21.0,85.0,22.0,1.0,1,1,395.81780275985074,1
8436,,,0,82.0,22.0,68.0,21.0,1.0,1,0,29.131199909260918,1
8437,,,0,67.0,33.0,,,,1,0,,1
8438,2.0,,0,68.0,39.0,,,,1,0,,0
8439,,,0,80.0,31.0,69.0,45.0,14.0,1,1,16.147577664830738,0
8440,,2.0,0,86.0,25.0,58.0,54.0,29.0,1,1,0.0,0
8441,,,0,80.0,29.0,,,,1,0,,1
8442,1.0,2.0,0,44.0,22.0,52.0,30.0,8.0,1,0,287.9673233085376,1
8443,1.0,,0,43.0,32.0,,,,1,0,,1
8444,2.0,2.0,0,64.0,49.0,61.0,46.0,3.0,1,1,512.5494043669645,0
8445,,,0,95.0,28.0,,,,1,0,,1
8446,1.0,,0,33.0,26.0,,,,1,0,,1
8447,4.0,4.0,0,86.0,25.0,86.0,25.0,0.0,1,0,484.7576048662682,0
8448,,,0,65.0,34.0,,,,1,0,,1
8449,1.0,,0,66.0,38.0,,,,1,0,,0
8450,,,0,86.0,25.0,67.0,31.0,6.0,1,0,644.7224688122042,1
8451,,,0,70.0,22.0,,,,1,0,,1
8452,5.0,5.0,0,78.0,28.0,69.0,44.0,16.0,1,1,495.5362944451546,0
8453,,1.0,0,77.0,38.0,74.0,33.0,5.0,1,1,91.54984743718038,1
8454,,,0,78.0,26.0,,,,1,0,,1
8455,4.0,,0,74.0,22.0,,,,1,0,,0
8456,3.0,,0,98.0,23.0,,,,1,0,,0
8457,1.0,1.0,0,35.0,29.0,46.0,40.0,11.0,1,0,15978.57223331547,0
8458,,,0,83.0,67.0,,,,1,0,,0
8459,,,0,62.0,25.0,81.0,31.0,6.0,1,1,17.221828129993796,1
8460,,,0,40.0,30.0,,,,1,0,,1
8461,2.0,4.0,0,69.0,19.0,73.0,26.0,7.0,2,1,326.0172206192752,1
8462,3.0,,0,90.0,21.0,,,,1,0,,0
8463,,,0,91.0,34.0,,,,1,0,,0
8464,,,0,55.0,41.0,53.0,39.0,2.0,1,1,9386.274185319351,0
8465,,,0,37.0,35.0,,,,1,0,,0
8466,,,0,88.0,60.0,,,,2,0,,0
8467,2.0,,0,41.0,26.0,,,,2,0,,1
8468,2.0,,0,53.0,31.0,,,,4,0,,1
8469,2.0,,0,46.0,22.0,,,,2,0,,1
8470,1.0,,0,40.0,28.0,,,,1,0,,1
8471,1.0,,0,47.0,26.0,,,,1,0,,1
8472,2.0,,0,50.0,29.0,69.0,48.0,19.0,1,0,391.4587716225887,1
8473,1.0,,0,81.0,21.0,,,,1,0,,0
8474,2.0,,0,43.0,37.0,,,,2,0,,0
8475,1.0,,0,75.0,32.0,,,,1,0,,1
8476,2.0,,0,53.0,40.0,,,,1,0,,0
8477,2.0,,0,41.0,36.0,,,,1,0,,0
8478,,,0,44.0,43.0,,,,2,0,,0
8479,1.0,1.0,0,40.0,33.0,36.0,29.0,4.0,2,0,865.4742856037562,0
8480,3.0,,0,49.0,31.0,,,,1,0,,1
8481,2.0,,0,31.0,28.0,,,,2,0,,0
8482,1.0,,0,61.0,36.0,,,,2,0,,1
8483,3.0,,0,53.0,40.0,,,,1,0,,0
8484,2.0,,0,58.0,31.0,,,,1,0,,1
8485,1.0,,0,59.0,27.0,,,,2,0,,0
8486,2.0,,0,79.0,21.0,,,,1,0,,0
8487,,,0,39.0,35.0,47.0,43.0,8.0,1,0,,0
8488,2.0,,0,47.0,35.0,,,,2,0,,1
8489,,,0,35.0,29.0,,,,2,0,,0
8490,,,0,32.0,26.0,,,,1,0,,0
8491,,,0,38.0,32.0,,,,1,0,,0
8492,3.0,,0,47.0,37.0,,,,2,0,,0
8493,,,0,93.0,19.0,,,,1,0,,1
8494,1.0,,0,41.0,32.0,,,,2,0,,0
8495,2.0,3.0,0,69.0,40.0,74.0,45.0,5.0,1,0,804.8823965673871,0
8496,1.0,,0,70.0,29.0,,,,1,0,,0
8497,1.0,1.0,0,47.0,40.0,44.0,37.0,3.0,2,0,0.0,0
8498,1.0,1.0,0,45.0,36.0,58.0,49.0,13.0,2,0,3296.414300316655,0
8499,1.0,,0,53.0,41.0,,,,2,0,,0
8500,2.0,,0,73.0,24.0,85.0,41.0,17.0,1,1,839.1125702496223,1
8501,,1.0,0,32.0,29.0,51.0,48.0,19.0,1,0,160.60840236514477,0
8502,1.0,,0,68.0,24.0,,,,2,0,,1
8503,1.0,,0,36.0,26.0,,,,1,0,,0
8504,,,0,48.0,41.0,,,,1,0,,0
8505,,3.0,0,76.0,29.0,75.0,28.0,1.0,1,0,811.1969445436083,1
8506,,,0,35.0,32.0,43.0,40.0,8.0,2,1,57.0448704682255,0
8507,,,0,79.0,39.0,81.0,46.0,7.0,2,0,,0
8508,3.0,,0,60.0,27.0,,,,1,0,,0
8509,,,0,39.0,35.0,38.0,34.0,1.0,2,0,965.7947715042748,0
8510,2.0,4.0,0,55.0,32.0,62.0,39.0,7.0,3,0,0.0,1
8511,2.0,,0,86.0,29.0,,,,1,0,,0
8512,1.0,,0,51.0,32.0,,,,2,0,,1
8513,2.0,,0,49.0,37.0,,,,1,0,,0
8514,3.0,,0,46.0,27.0,,,,2,0,,1
8515,2.0,,0,45.0,31.0,,,,1,0,,0
8516,1.0,,0,43.0,32.0,,,,1,0,,1
8517,3.0,,0,72.0,21.0,,,,1,0,,1
8518,,,0,39.0,27.0,,,,1,0,,1
8519,1.0,,0,64.0,22.0,,,,1,0,,1
8520,2.0,,0,37.0,30.0,,,,1,0,,0
8521,,,0,44.0,18.0,,,,1,0,,1
8522,2.0,,0,61.0,22.0,,,,1,0,,1
8523,1.0,,0,40.0,31.0,,,,1,0,,0
8524,1.0,,0,31.0,25.0,,,,1,0,,1
8525,,,0,80.0,29.0,,,,1,0,,0
8526,,,0,69.0,51.0,,,,1,0,,0
8527,1.0,,0,46.0,39.0,,,,1,0,,1
8528,1.0,,0,61.0,,,,,1,0,,1
8529,,,0,31.0,24.0,,,,1,0,,0
8530,,,0,42.0,20.0,,,,1,0,,1
8531,,,0,37.0,36.0,41.0,40.0,4.0,1,0,349.36514897683554,0
8532,1.0,,0,60.0,16.0,,,,2,0,,1
8533,1.0,,0,52.0,19.0,,,,1,0,,1
8534,,,0,39.0,31.0,,,,1,0,,1
8535,,2.0,0,42.0,30.0,46.0,34.0,4.0,1,0,0.0,1
8536,2.0,,0,38.0,29.0,,,,1,0,,0
8537,1.0,,0,41.0,38.0,,,,1,0,,0
8538,2.0,,0,40.0,22.0,,,,1,0,,1
8539,2.0,,0,67.0,29.0,,,,2,0,,1
8540,,,0,33.0,30.0,,,,1,0,,0
8541,,,0,32.0,28.0,,,,1,0,,0
8542,,,0,31.0,25.0,,,,1,0,,1
8543,2.0,,0,48.0,26.0,,,,1,0,,0
8544,,,0,41.0,38.0,,,,1,0,,0
8545,,,0,34.0,27.0,,,,1,0,,0
8546,,,0,41.0,40.0,,,,1,0,,0
8547,,,0,52.0,28.0,,,,1,0,,0
8548,,,0,36.0,28.0,,,,1,0,,1
8549,,,0,41.0,24.0,,,,1,0,,1
8550,,,0,49.0,33.0,,,,1,0,,1
8551,,,0,44.0,31.0,,,,1,0,,1
8552,,,0,46.0,29.0,,,,1,0,,0
8553,2.0,3.0,0,41.0,29.0,46.0,34.0,5.0,1,1,349.36514897683554,1
8554,,,0,79.0,23.0,,,,1,0,,1
8555,,,0,36.0,27.0,,,,1,0,,1
8556,1.0,,0,33.0,31.0,,,,1,0,,0
8557,1.0,,0,43.0,39.0,,,,1,0,,1
8558,,,0,78.0,47.0,,,,1,0,,0
8559,,,0,54.0,34.0,,,,1,0,,1
8560,2.0,2.0,0,72.0,23.0,61.0,30.0,7.0,1,0,327.4516053014198,0
8561,2.0,,0,69.0,21.0,,,,1,0,,0
8562,,,0,40.0,37.0,,,,1,0,,0
8563,,,0,37.0,32.0,,,,1,0,,1
8564,,1.0,0,49.0,30.0,62.0,43.0,13.0,1,0,1981.3122966430449,1
8565,2.0,,0,59.0,18.0,,,,1,0,,1
8566,2.0,,0,46.0,23.0,,,,1,0,,1
8567,,,0,38.0,32.0,,,,1,0,,1
