Name,Date_of_Birth,Place_of_Birth,Date_of_Death,Place_of_Death,Name_of_Spouse,Date_of_Marriage,Date_of_Divorce,Number_of_Marriage,Number_of_Divorce,Number_of_Children,Marriages_End_in_Death,Date_of_Birth_Spouse,Place_of_Birth_Spouse,Date_of_Death_Spouse,Place_of_Death_Spouse,Number_of_Marriage_Spouse,Number_of_Divorce_Spouse,Number_of_Children_Spouse,Name_of_Spouse_Spouse,Sex,Profession
Lidia Giuliana Matticchio[1],1947-02-21,"Pola, Allied-occupied Italy(now Pula, Croatia)",,,"Felice ""Felix"" Bastianich​ ​",1966-01-01,1998-01-01,1.0,1.0,Joe BastianichTanya Bastianich Manuali,0.0,,,,,,,,,F,musician
Angelica Jade Bastién,,,,,,,,,,,,,,,,,,,,F,musician
Diksha Basu,,"Delhi, India",,,,,,,,,,,,,,,,,,F,musician
Allie Bates,,,,,,,,,,,,,,,,,,,,F,musician
Mary Catherine Bateson,1939-12-08,"New York City, US",2021-01-02,"New Hampshire, US",J. Barkev Kassarjian​ ​,1960-01-01,,1.0,0.0,1,0.0,,,,,,,,,F,musician
Patricia N. Battle,1959-12-09,,,,Anthony Johnson,,,1.0,,,,,,,,,,,,F,musician
Jean Battlo,,"Kimball, West Virginia, U.S.",,,,,,,,,,,,,,,,,,F,musician
Dawn-Michelle Baude,,,,,,,,,,,,,,,,,,,,F,musician
Gael Baudino,,,,,,,,,,,,,,,,,,,,F,musician
Ann Bauer,,,,,,,,,,,,,,,,,,,,F,musician
Cat Bauer,,,,,,,,,,,,,,,,,,,,F,musician
Jill Bauer,,,,,,,,,,,,,,,,,,,,F,musician
Joan Bauer ,,,,,,,,,,,,,,,,,,,,F,musician
Joy Bauer,1963-11-06,,,,,,,,,,,,,,,,,,,F,musician
Marion Dane Bauer,,,,,,,,,,,,,,,,,,,,F,musician
Terry Baum,,,,,,,,,,,,,,,,,,,,F,musician
Beth Ann Bauman,,,,,,,,,,,,,,,,,,,,F,musician
Jill Bauman,,"Brooklyn, NY",,,,,,,,,,,,,,,,,,F,musician
Judith Baumel,1956-10-09,,,,,,,,,,,,,,,,,,,F,musician
Jennifer Baumgardner,,,,,,,,,,,,,,,,,,,,F,musician
Rosalyn Fraad,1939-06-12,"New York City, U.S.",2015-10-13,"New York City, U.S.",Lee Raymond Baxandall,1962-01-01,1978-01-01,1.0,1.0,Phineas Baxandall,0.0,1935-01-26,"Oshkosh, Wisconsin, U.S.",2008-11-28,"Oshkosh, Wisconsin, U.S.",2.0,2.0,Phineas Baxandall,Rosalyn Fraad​ ​,F,musician
Meredith Ann Baxter,1947-06-21,"South Pasadena, California, U.S.",,,Robert Lewis Bush​ ​,1966-01-01,1969-01-01,4.0,3.0,5,0.0,,,,,,,,,F,musician
Kristine Carlin Bay,1963-12-28,"New York City, U.S.",,,Robert Allen Iger,1995-01-01,,1.0,0.0,2,0.0,1951-02-10,"New York City, U.S.",,,2.0,1.0,4,Kathleen Susan ​,F,musician
Wanda Williams,,"Trenton, New Jersey, United States",,,,,,,,,,,,,,,,,,F,musician
Elmira Bayrasli,,,,,,,,,,,,,,,,,,,,F,musician
Molly Baz,,,,,,,,,,,,,,,,,,,,F,musician
Emily Bazelon,1971-03-04,,,,Paul Sabin,,,1.0,,2,,,,,,,,,,F,musician
Lara Bazelon,1974-02-14,,,,,,,,,,,,,,,,,,,F,musician
Alison Isdale Beach,1963-10-08,"New Rochelle, New York",,,David A. Jaeger ​,1990-01-01,,1.0,0.0,,0.0,1964-01-01,,,,1.0,0.0,,Alison Beach ​,F,musician
Elizabeth Davis Beall,,,,,Will Beall ​,2012-01-01,,1.0,0.0,,0.0,,"Walnut Creek, California, United States",,,1.0,0.0,,Elizabeth Davis ​,F,musician
Cris Beam,,,,,,,,,,,,,,,,,,,,F,musician
Lydia Bean,,,,,,,,,,,,,,,,,,,,F,musician
Elizabeth Bear,,,,,,,,,,,,,,,,,,,,F,musician
Eleanor Beardsley,,,,,Ulysse Gosset,,,1.0,,1,,1955-07-23,"Paris, France",,,,,,,F,musician
Nancy Wright Beasley,,,,,,,,,,,,,,,,,,,,F,musician
Sandra Beasley,,,,,,,,,,,,,,,,,,,,F,musician
Ann Beattie,,,,,,,,,,,,,,,,,,,,F,musician
Anne Beatts,1947-02-25,"Buffalo, New York, U.S.",2021-04-07,"West Hollywood, California, U.S.",,,,,,,,,,,,,,,,F,musician
Jan Beatty,,,,,,,,,,,,,,,,,,,,F,musician
Cari Beauchamp,,,,,,,,,,,,,,,,,,,,F,musician
Jeanne Marie Beaumont,,,,,,,,,,,,,,,,,,,,F,musician
Carrie Bebris,,,,,,,,,,,,,,,,,,,,F,musician
Janette Becerra,,,,,,,,,,,,,,,,,,,,F,musician
