Name,Date_of_Birth,Place_of_Birth,Date_of_Death,Place_of_Death,Name_of_Spouse,Date_of_Marriage,Date_of_Divorce,Number_of_Marriage,Number_of_Divorce,Number_of_Children,Marriages_End_in_Death,Date_of_Birth_Spouse,Place_of_Birth_Spouse,Date_of_Death_Spouse,Place_of_Death_Spouse,Number_of_Marriage_Spouse,Number_of_Divorce_Spouse,Number_of_Children_Spouse,Name_of_Spouse_Spouse,Sex,Profession
Andrea Blanch,,,,,,,,,,,,,,,,,,,,F,director
Nydia Blas,,,,,,,,,,,,,,,,,,,,F,director
Briana Blasko,,"San Francisco, CA, USA",,,,,,,,,,,,,,,,,,F,director
Gay Block,1942-01-01,"Houston, Texas",,,Billie Parker,,,1.0,,,,,,,,,,,,F,director
Debra Bloomfield,,,,,,,,,,,,,,,,,,,,F,director
Erika Blumenfeld,1971-01-01,"Newark, New Jersey, U.S.",,,,,,,,,,,,,,,,,,F,director
Margaret L. Bodine,,,,,,,,,,,,,,,,,,,,F,director
Thérèse Bonney,1894-07-15,"Syracuse, New York",1978-01-15,"Paris, France",,,,,,,,,,,,,,,,F,director
Andrea Booher,,,,,,,,,,,,,,,,,,,,F,director
Karen T. Borchers,,,,,,,,,,,,,,,,,,,,F,director
Barbara Bosworth,,,,,,,,,,,,,,,,,,,,F,director
Joan Liffring,1929-02-20,"Iowa City, Iowa",2022-10-16,,,,,,,,,,,,,,,,,F,director
Louise Boyle,,,,,,,,,,,,,,,,,,,,F,director
Alison Brady,,,,,,,,,,,,,,,,,,,,F,director
Jerilyn Lee Brandelius,,,,,,,,,,,,,,,,,,,,F,director
Marilyn Bridges,1948-01-01,,,,,,,,,,,,,,,,,,,F,director
Sheila Pree Bright,,,,,,,,,,,,,,,,,,,,F,director
Charlotte Finkelstein,1918-09-16,"Brooklyn, New York, U.S.",2014-03-15,"Holmes, New York, U.S.",,,,,,,,,,,,,,,,F,director
K. S. Brooks,,,,,,,,,,,,,,,,,,,,F,director
Kate Brooks,1977-01-01,,,,,,,,,,,,,,,,,,,F,director
Adrien Broom,1980-01-01,,,,,,,,,,,,,,,,,,,F,director
Pryde Breed Brown,,,,,,,,,,"Four daughters of first marriage: Jenny, Martha, Laura, and Sarah. One daughter of second marriage: Joan.",,,,,,,,,,F,director
Helen Brush Jenkins,,,,,,,,,,,,,,,,,,,,F,director
Julie Buck,1974-12-09,"Walnut Creek, California",,,,,,,,,,,,,,,,,,F,director
Claire Buffie,1986-05-15,"Indianapolis, Indiana, U.S.",,,,,,,,,,,,,,,,,,F,director
Nancy Florence Cohen,1945-06-24,"New York City, U.S.",2023-08-29,"New York City, U.S.",,,,,,,,,,,,,,,,F,director
Sonja Bullaty,,,,,,,,,,,,,,,,,,,,F,director
Susan Burnstine,,,,,,,,,,,,,,,,,,,,F,director
Alice Burr,,,,,,,,,,,,,,,,,,,,F,director
Renée C. Byer,,,,,,,,,,,,,,,,,,,,F,director
Cathy Cade,,,,,,,,,,,,,,,,,,,,F,director
Elinor Bonwit,1924-01-01,Baltimore[1],2020-03-20,Baltimore,,,,,,,,,,,,,,,,F,director
Chrystal Callahan,,,,,,,,,,,,,,,,,,,,F,director
Angela Calomiris,,,,,,,,,,,,,,,,,,,,F,director
Jane Calvin,1938-04-27,"Chicago, Illinois",,,,,,,,,,,,,,,,,,F,director
Evelyn Jephson Flower,1868-08-26,"Furze Down Park, near Streatham, England, United Kingdom",1928-12-26,"Terry, Montana, United States",Ewen Somerled Cameron,,,1.0,,,,,,,,,,,,F,director
Angela Cappetta,,,,,,,,,,,,,,,,,,,,F,director
Tammy Rae Carland,1965-01-27,"Portland, Maine, United States",,,,,,,,,,,,,,,,,,F,director
Marie-Helene Carleton,,,,,,,,,,,,,,,,,,,,F,director
Carol Nourse,,,,,,,,,,,,,,,,,,,,F,director
Benita Carr,,,,,,,,,,,,,,,,,,,,F,director
Elinor Carucci,1971-01-01,"Jerusalem, Israel",,,,,,,,,,,,,,,,,,F,director
Marisa Catalina Casey,,,,,,,,,,,,,,,,,,,,F,director
Alison Castle,,,,,,,,,,,,,,,,,,,,F,director
Catherine Chalmers,1957-07-07,"San Mateo, California, US",,,,,,,,,,,,,,,,,,F,director
Polly Chandler,,,,,,,,,,,,,,,,,,,,F,director
Lia Chang,1963-09-29,"San Francisco, California, U.S.",,,,,,,,,,,,,,,,,,F,director
Sarah Edwards Charlesworth,1947-03-29,"East Orange, New Jersey, U.S.",2013-06-25,"Hartford, Connecticut, U.S.",Amos Poe ​,1983-01-01,2010-01-01,1.0,1.0,,0.0,1949-01-01,"Tel Aviv, Israel",,,1.0,1.0,,Sarah Charlesworth​ ​,F,director
Natalie Christensen,,,,,,,,,,,,,,,,,,,,F,director
Cathy Church,,,,,,,,,,,,,,,,,,,,F,director
Susan Ciriclio,1946-11-27,"New York City, New York, United States",2018-08-19,,,,,,,,,,,,,,,,,F,director
Bettina Cirone,1933-08-19,,,,,,,,,,,,,,,,,,,F,director
Andrea Clark,,,,,,,,,,,,,,,,,,,,F,director
Lydia Marie Clarke,1923-04-14,"Two Rivers, Wisconsin, U.S.",2018-09-03,"Santa Monica, California, U.S.",Charlton John Carter[1],1944-01-01,,1.0,0.0,"2, including Fraser Clarke Heston",1.0,1923-10-04,"Wilmette, Illinois, U.S.",2008-04-05,"Beverly Hills, California, U.S.",1.0,0.0,"2, including Fraser Clarke Heston",Lydia Clarke ​,F,director
Kelli Connell,1974-01-01,"Oklahoma City, Oklahoma, United States",,,,,,,,,,,,,,,,,,F,director
Lois Conner,1951-01-01,New York City,,,,,,,,,,,,,,,,,,F,director
Cynthia Anne Connolly,1964-01-01,"Los Angeles, California, United States",,,,,,,,,,,,,,,,,,F,director
Martha Cooper,,,,,,,,,,,,,,,,,,,,F,director
Deborah Copaken,,,,,,,,,,,,,,,,,,,,F,director
Sharon Core,1965-01-01,"New Orleans, Louisiana, U.S.",,,,,,,,,,,,,,,,,,F,director
