Name,Date_of_Birth,Place_of_Birth,Date_of_Death,Place_of_Death,Name_of_Spouse,Date_of_Marriage,Date_of_Divorce,Number_of_Marriage,Number_of_Divorce,Number_of_Children,Marriages_End_in_Death,Date_of_Birth_Spouse,Place_of_Birth_Spouse,Date_of_Death_Spouse,Place_of_Death_Spouse,Number_of_Marriage_Spouse,Number_of_Divorce_Spouse,Number_of_Children_Spouse,Name_of_Spouse_Spouse,Sex,Profession
Enza Anderson,1964-01-01,"Toronto, Ontario, Canada",,,,,,,,,,,,,,,,,,F,journalist
Sally Armstrong ,1943-01-01,"Montreal, Quebec, Canada",,,,,,,,,,,,,,,,,,F,journalist
Gladys Arnold,,,,,,,,,,,,,,,,,,,,F,journalist
Nina Arsenault,1974-01-20,"Beamsville, Ontario, Canada",,,,,,,,,,,,,,,,,,F,journalist
Irene Baird,,,,,,,,,,,,,,,,,,,,F,journalist
Trisha Baptie,1973-01-01,,,,,,,,,,,,,,,,,,,F,journalist
Julie Barlow,,,,,,,,,,,,,,,,,,,,F,journalist
Robertine Barry,1863-02-26,"Les Escoumins, Province of Canada",1910-01-07,"Montreal, Quebec",,,,,,,,,,,,,,,,F,journalist
Angèle Bassolé-Ouédraogo,1967-02-08,"Abidjan, Côte d'Ivoire",,,,,,,,,,,,,,,,,,F,journalist
Jeann Beattie,,,,,,,,,,,,,,,,,,,,F,journalist
Jeanne Beker,1952-03-19,"Toronto, Ontario, Canada",,,,,,,,,,,,,,,,,,F,journalist
France Bélisle,,,,,,,,,,,,,,,,,,,,F,journalist
Julia Belluz,,,,,,,,,,,,,,,,,,,,F,journalist
Margaret Bemister,,,,,,,,,,,,,,,,,,,,F,journalist
Margret Benedictsson,,,,,,,,,,,,,,,,,,,,F,journalist
Jovette Bernier,1900-11-27,"Saint-Fabien, Quebec",1981-12-04,"Longueuil, Quebec",,,,,,,,,,,,,,,,F,journalist
Janette Bertrand,1925-03-25,"Montreal, Canada",,,Jean Lajeunesse​ ​,1947-01-01,,1.0,0.0,3,1.0,,,,,,,,,F,journalist
Carrie Mae Prevo,1903-03-04,"New Glasgow, Nova Scotia, Canada",2001-07-24,"New Glasgow, Nova Scotia, Canada",Albert T. Best ​,1925-01-01,,1.0,0.0,James Calbert Best,0.0,,,,,,,,,F,journalist
Mary Elizabeth Miles,1820-01-01,Rhode Island,1877-01-01,,Henry Bibb​ ​,1848-01-01,,2.0,0.0,,1.0,,,,,,,,,F,journalist
Lise Bissonnette,,,,,,,,,,,,,,,,,,,,F,journalist
