Name,Date_of_Birth,Place_of_Birth,Date_of_Death,Place_of_Death,Name_of_Spouse,Date_of_Marriage,Date_of_Divorce,Number_of_Marriage,Number_of_Divorce,Number_of_Children,Marriages_End_in_Death,Date_of_Birth_Spouse,Place_of_Birth_Spouse,Date_of_Death_Spouse,Place_of_Death_Spouse,Number_of_Marriage_Spouse,Number_of_Divorce_Spouse,Number_of_Children_Spouse,Name_of_Spouse_Spouse,Sex,Profession
Jesusa Rodríguez,,,,,,,,,,,,,,,,,,,,F,playwrights
Tanya Selene Saracho,,"Los Mochis, Sinaloa, Mexico",,,,,,,,,,,,,,,,,,F,playwrights
Altaír Tejeda de Tamez,,,,,,,,,,,,,,,,,,,,F,playwrights
Maruxa Vilalta,,,,,,,,,,,,,,,,,,,,F,playwrights
Pinky Agnew,,,,,,,,,,,,,,,,,,,,F,playwrights
Michele Louise Amas,1961-10-08,"Dunedin, New Zealand",2016-12-26,"Wellington, New Zealand",Ken Duncum,,,1.0,,1,,,,,,,,,,F,playwrights
Sunny Amey,,,,,,,,,,,,,,,,,,,,F,playwrights
Isabella Smith Young,1905-11-02,"Glasgow, Scotland",1990-06-19,"Auckland, New Zealand",Ernest Stanhope Andrews​ ​,1932-01-01,,1.0,0.0,2,0.0,,,,,,,,,F,playwrights
Jackie van Beek,1976-05-10,"Wellington, New Zealand",,,Jesse Griffin,,,1.0,,3,,,,,,,,,,F,playwrights
Jean Betts,,,,,,,,,,,,,,,,,,,,F,playwrights
Riwia Brown,1957-01-01,"Wellington, New Zealand",,,,,,,,,,,,,,,,,,F,playwrights
Nancy Brunning,1971-01-01,"Taupō, New Zealand",2019-11-16,"Wellington, New Zealand",,,,,,,,,,,,,,,,F,playwrights
Vanessa Byrnes,,,,,,,,,,,,,,,,,,,,F,playwrights
Judy Callingham,,,,,,,,,,,,,,,,,,,,F,playwrights
Rosalie Louise Seddon,1921-05-18,New Zealand,2011-06-29,"Whangārei, New Zealand",Patric Carey​ ​,1953-01-01,1982-01-01,1.0,1.0,,0.0,,,,,,,,,F,playwrights
Lynda Chanwai-Earle,,,,,,,,,,,,,,,,,,,,F,playwrights
Sarah Delahunty,,,,,,,,,,,,,,,,,,,,F,playwrights
Catherine Patricia Downes,1951-01-01,,,,,,,,,,,,,,,,,,,F,playwrights
Marilyn Duckworth,,,,,,,,,,,,,,,,,,,,F,playwrights
Tessa Duder,,,,,,,,,,,,,,,,,,,,F,playwrights
Emily Duncan,,,,,,,,,,,,,,,,,,,,F,playwrights
Elisabeth Easther,1970-01-01,,,,,,,,,,,,,,,,,,,F,playwrights
Margaret Escott,,,,,,,,,,,,,,,,,,,,F,playwrights
Fiona Farrell,,,,,,,,,,,,,,,,,,,,F,playwrights
Angie Farrow,1951-01-01,,,,,,,,,,,,,,,,,,,F,playwrights
Michelanne Forster,,,,,,,,,,,,,,,,,,,,F,playwrights
Kathleen Gallagher ,,,,,,,,,,,,,,,,,,,,F,playwrights
Mīria George,,,,,,,,,,,,,,,,,,,,F,playwrights
Briar Grace-Smith,,,,,,,,,,,,,,,,,,,,F,playwrights
Bernadette Hall,,,,,,,,,,,,,,,,,,,,F,playwrights
Pip Hall,,,,,,,,,,,,,,,,,,,,F,playwrights
Jessica Hammond,,"Wellington, New Zealand",,,,,,,,,,,,,,,,,,F,playwrights
Leki Jackson-Bourke,,,,,,,,,,,,,,,,,,,,F,playwrights
Kate JasonSmith,,,,,,,,,,,,,,,,,,,,F,playwrights
Stella Marjorie Claridge,1904-04-05,"Kimbolton, New Zealand",1991-06-06,New Zealand,,,,,,,,,,,,,,,,F,playwrights
Renee Liang,,,,,,,,,,,,,,,,,,,,F,playwrights
Rachel McAlpine,,,,,,,,,,,,,,,,,,,,F,playwrights
Sue McCauley,,,,,,,,,,,,,,,,,,,,F,playwrights
Miriama McDowell,,,,,,,,,,,,,,,,,,,,F,playwrights
Courtney Sina Meredith,,,,,,,,,,,,,,,,,,,,F,playwrights
Marjory Nicholls,,,,,,,,,,,,,,,,,,,,F,playwrights
Lorae Parry,1955-01-01,"Sydney, Australia",,,,,,,,,,,,,,,,,,F,playwrights
Vivienne Plumb,1955-04-04,"Sydney, New South Wales, Australia",,,,,,,,,,,,,,,,,,F,playwrights
Roma Potiki,1958-02-16,"Lower Hutt, New Zealand",,,,,,,,,,,,,,,,,,F,playwrights
Alison Quigan,,,,,,,,,,,,,,,,,,,,F,playwrights
Maraea Rakuraku,,,,,,,,,,,,,,,,,,,,F,playwrights
Jo Randerson,,,,,,,,,,,,,,,,,,,,F,playwrights
Rosemary Rees ,,,,,,,,,,,,,,,,,,,,F,playwrights
Renée ,,,,,,,,,,,,,,,,,,,,F,playwrights
Joan Rosier-Jones,,,,,,,,,,,,,,,,,,,,F,playwrights
Madeleine Nalini Sami,1980-05-10,"Auckland, New Zealand",,,Ladyhawke ​,2015-01-01,2023-01-01,1.0,1.0,1,0.0,,,,,,,,,F,playwrights
Fiona Samuel,,,,,,,,,,,,,,,,,,,,F,playwrights
Jess Sayer,,,,,,,,,,,,,,,,,,,,F,playwrights
Violet Targuse,,,,,,,,,,,,,,,,,,,,F,playwrights
Makerita Urale,,,,,,,,,,,,,,,,,,,,F,playwrights
Catherine Obianuju Acholonu,1951-10-26,,2014-03-18,,,,,,,,,,,,,,,,,F,playwrights
Gloria Bamiloye,,"Ilesa, Osun, Nigeria",,,Mike Bamiloye,,,1.0,,3,,1960-04-13,"Ilesa, Osun, Nigeria",,,1.0,,"
Joshua Mike-Bamiloye
Damilola Mike-Bamiloye
Darasimi Oyor
",Gloria Bamiloye,F,playwrights
Julie Okoh,,,,,,,,,,,,,,,,,,,,F,playwrights
Osonye Tess Onwueme,,,,,,,,,,,,,,,,,,,,F,playwrights
Stella Oyedepo,,,,,,,,,,,,,,,,,,,,F,playwrights
Zulu Sofola,,,,,,,,,,,,,,,,,,,,F,playwrights
Tracie Chima Utoh,,,,,,,,,,,,,,,,,,,,F,playwrights
Lucy Caldwell,,,,,,,,,,,,,,,,,,,,F,playwrights
Anne Devlin ,,,,,,,,,,,,,,,,,,,,F,playwrights
Olga Fielden,,,,,,,,,,,,,,,,,,,,F,playwrights
Pauline Goldsmith,,,,,,,,,,,,,,,,,,,,F,playwrights
Rosemary Jenkinson,,,,,,,,,,,,,,,,,,,,F,playwrights
Marie Jones,,,,,,,,,,,,,,,,,,,,F,playwrights
Lisa McGee,1980-01-01,"Derry, Northern Ireland",,,Tobias Beer,,,1.0,,,,,,,,,,,,F,playwrights
Nuala McKeever,1964-01-01,"Belfast, Northern Ireland",,,,,,,,,,,,,,,,,,F,playwrights
Christina McKenna,,,,,,,,,,,,,,,,,,,,F,playwrights
Philomena Muinzer,,,,,,,,,,,,,,,,,,,,F,playwrights
Ella Anker,,,,,,,,,,,,,,,,,,,,F,playwrights
Nini Roll Anker,1873-05-03,"Molde, Norway",1942-05-20,Asker,Johan Anker,,,1.0,,,,,,,,,,,,F,playwrights
Turid Balke,1921-07-25,"Kirkenes, Norway",2000-01-05,"Oslo, Norway",,,,,,,,,,,,,,,,F,playwrights
Irene Ibsen Bille,,,,,,,,,,,,,,,,,,,,F,playwrights
Sørsdal,1895-12-24,"Lier, Norway",1976-04-05,,"Jonas Brunvoll, Sr.",,,1.0,,,,,,,,,,,,F,playwrights
Solveig Fredriksen,1918-10-29,"Drammen, Norway",1984-05-16,,,,,,,,,,,,,,,,,F,playwrights
Rawdna Carita Eira,,,,,,,,,,,,,,,,,,,,F,playwrights
Solvejg Eriksen,1903-08-09,"Karlsøy, Norway",1993-08-10,,,,,,,,,,,,,,,,,F,playwrights
