Name,Date_of_Birth,Place_of_Birth,Date_of_Death,Place_of_Death,Name_of_Spouse,Date_of_Marriage,Date_of_Divorce,Number_of_Marriage,Number_of_Divorce,Number_of_Children,Marriages_End_in_Death,Date_of_Birth_Spouse,Place_of_Birth_Spouse,Date_of_Death_Spouse,Place_of_Death_Spouse,Number_of_Marriage_Spouse,Number_of_Divorce_Spouse,Number_of_Children_Spouse,Name_of_Spouse_Spouse,Sex,Profession
Fiona Apple,,,,,,,,,,,,,,,,,,,,F,singer
Sudan Archives,,,,,,,,,,,,,,,,,,,,F,singer
Romina Arena,,,,,,,,,,,,,,,,,,,,F,singer
Brittany Alexandria Sheets,,,,,,,,,,,,,,,,,,,,F,singer
Ashley Argota,1993-01-09,"Redlands, California, U.S.",,,Mick Torres ​,2021-01-01,,1.0,0.0,,0.0,,,,,,,,,F,singer
India Arie Simpson,1975-10-03,"Denver, Colorado, U.S.",,,,,,,,,,,,,,,,,,F,singer
Ariel Rebecca Martin,2000-11-22,"Pembroke Pines, Florida, U.S.",,,,,,,,,,,,,,,,,,F,singer
Debra Arlyn,,,,,,,,,,,,,,,,,,,,F,singer
Katie Armiger,,,,,,,,,,,,,,,,,,,,F,singer
Jillian Armsbury,,,,,,,,,,,,,,,,,,,,F,singer
Lucie Désirée Arnaz,1951-07-17,"Los Angeles, California, U.S.",,,Philip Vandervort Menegaux​ ​,1971-01-01,1976-01-01,2.0,1.0,3,0.0,,,,,,,,,F,singer
P. P. Arnold,,,,,,,,,,,,,,,,,,,,F,singer
Tony Arnold ,,,,,,,,,,,,,,,,,,,,F,singer
Consuelo Luz Arostegui,,,,,,,,,,,,,,,,,,,,F,singer
Genevieve Artadi,,,,,,,,,,,,,,,,,,,,F,singer
Annet Artani,,,,,,,,,,,,,,,,,,,,F,singer
Janelle Arthur,,,,,,,,,,,,,,,,,,,,F,singer
Arum Rae,,,,,,,,,,,,,,,,,,,,F,singer
Aruna ,,,,,,,,,,,,,,,,,,,,F,singer
Aryn Michelle,,,,,,,,,,,,,,,,,,,,F,singer
Jena Irene Asciutto,,,,,,,,,,,,,,,,,,,,F,singer
Ashanti ,,,,,,,,,,,,,,,,,,,,F,singer
Ashe ,,,,,,,,,,,,,,,,,,,,F,singer
Annaleigh Amanda Swanson,1985-06-25,"Denver, Colorado, U.S.",,,Joe Tapper ​,2013-01-01,,1.0,0.0,1,0.0,,,,,,,,,F,singer
Brittain Ashford,,,,,,,,,,,,,,,,,,,,F,singer
Susan Ashton,,,,,,,,,,,,,,,,,,,,F,singer
Asiahn,,,,,,,,,,,,,,,,,,,,F,singer
Aslyn,,,,,,,,,,,,,,,,,,,,F,singer
Audrey Assad,,,,,,,,,,,,,,,,,,,,F,singer
Clarice Assad,,,,,,,,,,,,,,,,,,,,F,singer
Sarah Atereth,,,,,,,,,,,,,,,,,,,,F,singer
Nicole Atkins,,,,,,,,,,,,,,,,,,,,F,singer
Melissa Auf der Maur,,,,,,,,,,,,,,,,,,,,F,singer
Sophie Auster,,,,,,,,,,,,,,,,,,,,F,singer
Thea Austin,1960-06-10,"Pittsburgh, Pennsylvania",,,,,,,,,,,,,,,,,,F,singer
Emilie Autumn,,,,,,,,,,,,,,,,,,,,F,singer
AverySunshine,,,,,,,,,,,,,,,,,,,,F,singer
Amanda Ayala,,,,,,,,,,,,,,,,,,,,F,singer
De'Adre Danielle Aziza,1977-06-14,"Atlanta, Georgia, U.S.",,,,,,,,,,,,,,,,,,F,singer
B Angie B,,,,,,,,,,,,,,,,,,,,F,singer
Andrea Babinski,1985-08-26,,,,,,,,,,,,,,,,,,,F,singer
Carmit Maile Bachar,1974-09-04,"Los Angeles, California, U.S.",,,,,,,,,,,,,,,,,,F,singer
Jane Badler,1953-12-31,"Brooklyn, New York City, U.S.",,,Stephen Hains,,,1.0,,2,,,,,,,,,,F,singer
Gina Naomi Baez,,,,,,,,,,,,,,,,,,,,F,singer
Joan Baez,,,,,,,,,,,,,,,,,,,,F,singer
Alice Bag,,,,,,,,,,,,,,,,,,,,F,singer
Patricia Bahia,,,,,,,,,,,,,,,,,,,,F,singer
Katherine Bailess,,"Vicksburg, Mississippi, U.S.",,,,,,,,,,,,,,,,,,F,singer
Chloe Elizabeth Bailey,1998-07-01,"Atlanta, Georgia, U.S.",,,,,,,,,,,,,,,,,,F,singer
Halle Lynn Bailey,2000-03-27,"Atlanta, Georgia, U.S.",,,,,,,,,,,,,,,,,,F,singer
Madilyn Bailey,,,,,,,,,,,,,,,,,,,,F,singer
Rachel Baiman,,,,,,,,,,,,,,,,,,,,F,singer
Baiyu ,,,,,,,,,,,,,,,,,,,,F,singer
Heather Baker,,,,,,,,,,,,,,,,,,,,F,singer
Julien Baker,,,,,,,,,,,,,,,,,,,,F,singer
Kaitlyn Baker,,,,,,,,,,,,,,,,,,,,F,singer
Spensha Baker,,,,,,,,,,,,,,,,,,,,F,singer
Katherine Baldwin,1975-05-02,"Evanston, Illinois, U.S.",,,Graham Rowat ​,2005-01-01,,1.0,0.0,1,0.0,,,,,,,,,F,singer
Marcia Ball,,,,,,,,,,,,,,,,,,,,F,singer
Ashley Ballard,,,,,,,,,,,,,,,,,,,,F,singer
Kelsea Ballerini,,,,,,,,,,,,,,,,,,,,F,singer
Veronica Ballestrini,,,,,,,,,,,,,,,,,,,,F,singer
Colleen Ballinger,,,,,,,,,,,,,,,,,,,,F,singer
Kimberly Jonelle Balmilero,1979-12-13,"Kaneohe, Hawaii, U.S.",,,,,,,,,,,,,,,,,,F,singer
Amanda Balon,,,,,,,,,,,,,,,,,,,,F,singer
Jillian Rose Banks,1988-06-16,"Orange County, California, U.S.",,,,,,,,,,,,,,,,,,F,singer
Azealia Amanda Banks,1991-05-31,"New York City, U.S.",,,,,,,,,,,,,,,,,,F,singer
Tyra Lynne Banks,1973-12-04,"Inglewood, California, U.S.",,,,,,,,1,,,,,,,,,,F,singer
Kelleigh Bannen,,,,,,,,,,,,,,,,,,,,F,singer
Christine Jane Baranski,1952-05-02,"Buffalo, New York, U.S.",,,Matthew Cowles​ ​,1983-01-01,,1.0,0.0,"2, including Lily Cowles",1.0,1944-09-28,"New York City, U.S.",2014-05-22,"New York City, U.S.",2.0,1.0,"2, including Lily Cowles",Kathleen Dezina​ ​,F,singer
Alina Baraz,,,,,,,,,,,,,,,,,,,,F,singer
Antonella Maria Barba,1986-11-26,"Santa Monica, California, U.S.",,,,,,,,,,,,,,,,,,F,singer
Lisa Barbuscia,1971-06-18,"Brooklyn, New York, United States",,,Anton Bilton,,,1.0,,,,,,,,,,,,F,singer
Sara Beth Bareilles,1979-12-07,"Eureka, California, U.S.",,,,,,,,,,,,,,,,,,F,singer
Kiara Barnes,1995-06-20,"Salt Lake City, Utah, U.S.",,,,,,,,,,,,,,,,,,F,singer
Mandy Barnett,,,,,,,,,,,,,,,,,,,,F,singer
Christy Baron,,,,,,,,,,,,,,,,,,,,F,singer
Stefania Barr,,,,,,,,,,,,,,,,,,,,F,singer
Gabby Barrett,,,,,,,,,,,,,,,,,,,,F,singer
Brooke Barrettsmith,,,,,,,,,,,,,,,,,,,,F,singer
Joanie Bartels,,,,,,,,,,,,,,,,,,,,F,singer
Stacy Barthe,,,,,,,,,,,,,,,,,,,,F,singer
Cathy Barton,1955-06-12,"Fort Benning, Georgia",2019-04-17,"Boonville, Missouri",,,,,,,,,,,,,,,,F,singer
Felicia Barton,,,,,,,,,,,,,,,,,,,,F,singer
Desireé Bassett,,,,,,,,,,,,,,,,,,,,F,singer
Perla Batalla,,,,,,,,,,,,,,,,,,,,F,singer
Kaci Battaglia,,,,,,,,,,,,,,,,,,,,F,singer
Francesca Battistelli,,,,,,,,,,,,,,,,,,,,F,singer
Simone Battle,,,,,,,,,,,,,,,,,,,,F,singer
Bayli ,,,,,,,,,,,,,,,,,,,,F,singer
Jessie Baylin,,,,,,,,,,,,,,,,,,,,F,singer
Germaine Bazzle,,,,,,,,,,,,,,,,,,,,F,singer
Destini Beard,,,,,,,,,,,,,,,,,,,,F,singer
Emanne Beasha,,,,,,,,,,,,,,,,,,,,F,singer
Joanna Beasley,,,,,,,,,,,,,,,,,,,,F,singer
Becca ,,,,,,,,,,,,,,,,,,,,F,singer
Gabriella Leigh Bechtel,1997-07-28,"Orange County, California, U.S.",,,,,,,,,,,,,,,,,,F,singer
Robin Beck,,,,,,,,,,,,,,,,,,,,F,singer
Margaret Becker,,,,,,,,,,,,,,,,,,,,F,singer
Sunshine Becker,,,,,,,,,,,,,,,,,,,,F,singer
Rebbeca Marie Gomez[1][2],1997-03-02,"Inglewood, California, U.S.[3][4]",,,,,,,,,,,,,,,,,,F,singer
Sophie Beem,1999-05-04,"New York City, U.S.",,,,,,,,,,,,,,,,,,F,singer
